                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.75409,                0.78465,                 1.2093,                0.66091,                0.52122,                0.65404,                0.48071,                0.62362,                0.67387,                  1.164,             0.00086932,             0.00086932,             0.00086932
                     36,                0.75098,                0.74298,                 1.2157,                0.82391,                0.53407,                0.64787,                0.50795,                0.62928,                0.69117,                 1.1929,             0.00086536,             0.00086536,             0.00086536
                     37,                0.77493,                 0.7726,                 1.2338,                0.80022,                0.49812,                0.62363,                0.49121,                0.59976,                0.66766,                 1.1604,              0.0008614,              0.0008614,              0.0008614
                     38,                0.74225,                0.74478,                  1.204,                0.61586,                0.50999,                0.58079,                0.43735,                0.63493,                0.71526,                 1.1852,             0.00085744,             0.00085744,             0.00085744
                     39,                0.73621,                0.75894,                 1.1929,                0.65518,                0.52404,                0.54545,                0.45185,                0.61225,                0.67919,                 1.1617,             0.00085348,             0.00085348,             0.00085348
                     40,                0.73439,                0.74913,                 1.2037,                0.49519,                0.54713,                0.51294,                0.42613,                0.60057,                0.68382,                 1.1358,             0.00084952,             0.00084952,             0.00084952
                     41,                0.74546,                 0.7545,                  1.204,                0.75206,                0.51927,                0.70479,                0.53157,                 0.6307,                0.65448,                  1.179,             0.00084556,             0.00084556,             0.00084556
                     42,                0.73398,                0.75646,                 1.1898,                0.68093,                  0.565,                0.68713,                0.52056,                 0.5804,                0.68593,                  1.106,              0.0008416,              0.0008416,              0.0008416
                     43,                0.73683,                0.73282,                 1.1954,                0.77005,                0.56913,                0.60546,                 0.4983,                0.58345,                0.66522,                 1.1174,             0.00083764,             0.00083764,             0.00083764
                     44,                0.70687,                0.71101,                 1.1661,                0.64857,                0.54822,                0.58544,                0.44711,                0.66608,                0.68204,                 1.2055,             0.00083368,             0.00083368,             0.00083368
                     45,                0.72053,                0.71472,                 1.1851,                0.62755,                0.57313,                0.65777,                0.49237,                0.59145,                0.64311,                 1.1335,             0.00082972,             0.00082972,             0.00082972
                     46,                0.72255,                0.72762,                 1.1907,                0.93529,                0.45896,                0.62053,                0.48353,                0.66399,                0.68828,                 1.1582,             0.00082576,             0.00082576,             0.00082576
                     47,                0.73665,                 0.7283,                 1.1922,                 0.6155,                 0.5352,                0.70388,                0.52412,                0.58248,                0.63738,                 1.1265,              0.0008218,              0.0008218,              0.0008218
                     48,                0.72113,                0.68704,                 1.1827,                 0.6441,                0.56195,                0.68459,                0.53268,                 0.6037,                 0.6138,                 1.1536,             0.00081784,             0.00081784,             0.00081784
                     49,                0.72414,                0.70504,                 1.1737,                 0.6857,                0.55634,                0.68182,                0.54015,                0.55743,                0.60927,                 1.0902,             0.00081388,             0.00081388,             0.00081388
                     50,                0.70107,                0.69681,                 1.1537,                0.81114,                0.52599,                0.68868,                0.53719,                0.56496,                0.60411,                 1.1046,             0.00080992,             0.00080992,             0.00080992
                     51,                0.71379,                0.68542,                 1.1623,                0.61258,                 0.6647,                0.67629,                 0.5517,                0.58413,                0.62664,                 1.1054,             0.00080596,             0.00080596,             0.00080596
                     52,                0.67802,                0.69091,                 1.1504,                0.69518,                0.73835,                0.72509,                 0.5648,                0.54808,                0.59779,                 1.0871,               0.000802,               0.000802,               0.000802
                     53,                0.71352,                  0.691,                 1.1591,                0.69349,                0.56752,                0.70339,                 0.5545,                0.59064,                0.62611,                 1.1377,             0.00079804,             0.00079804,             0.00079804
                     54,                0.70256,                0.71354,                 1.1664,                0.67801,                 0.6905,                0.68768,                0.55003,                0.56181,                0.61764,                 1.1096,             0.00079408,             0.00079408,             0.00079408
                     55,                0.68692,                0.70865,                 1.1539,                0.63496,                0.80662,                0.70901,                0.57331,                0.56076,                0.58802,                 1.0919,             0.00079012,             0.00079012,             0.00079012
                     56,                0.67809,                0.67155,                 1.1355,                0.67689,                 0.7048,                0.68918,                0.54912,                0.54049,                0.61492,                 1.0662,             0.00078616,             0.00078616,             0.00078616
                     57,                0.67364,                0.68725,                 1.1308,                0.62704,                0.61774,                0.71889,                0.54777,                0.54913,                0.59994,                 1.0742,              0.0007822,              0.0007822,              0.0007822
                     58,                0.68541,                0.66101,                 1.1435,                0.64977,                0.69848,                  0.697,                0.56634,                0.54714,                0.59619,                 1.0674,             0.00077824,             0.00077824,             0.00077824
                     59,                0.67072,                0.66786,                 1.1382,                0.65592,                0.74899,                0.68927,                0.55105,                0.55426,                0.60817,                 1.0742,             0.00077428,             0.00077428,             0.00077428
                     60,                0.67441,                0.64136,                 1.1341,                0.82213,                0.66952,                0.69141,                0.55538,                0.59075,                0.58203,                 1.1265,             0.00077032,             0.00077032,             0.00077032
                     61,                0.67617,                0.66408,                 1.1392,                0.62747,                0.67391,                0.66611,                0.56138,                0.55856,                0.59318,                 1.0912,             0.00076636,             0.00076636,             0.00076636
                     62,                0.65416,                0.66721,                 1.1304,                0.61148,                0.71271,                0.70047,                0.56414,                0.57761,                0.57228,                 1.1033,              0.0007624,              0.0007624,              0.0007624
                     63,                0.66351,                0.65993,                 1.1275,                0.65971,                 0.6722,                0.70383,                0.56369,                0.56089,                0.57005,                 1.0853,             0.00075844,             0.00075844,             0.00075844
                     64,                0.69229,                0.66032,                 1.1466,                0.67326,                 0.7093,                0.71313,                0.54536,                0.58674,                0.61992,                  1.107,             0.00075448,             0.00075448,             0.00075448
                     65,                0.66826,                 0.6764,                 1.1376,                0.58986,                0.68637,                0.69413,                0.55412,                0.55387,                0.58343,                  1.085,             0.00075052,             0.00075052,             0.00075052
                     66,                0.66275,                0.64603,                 1.1292,                0.65273,                 0.6689,                0.70845,                0.56272,                0.55247,                0.59566,                 1.1003,             0.00074656,             0.00074656,             0.00074656
                     67,                0.66321,                0.66761,                 1.1287,                0.65347,                0.67955,                0.67683,                0.55011,                0.56093,                0.57309,                  1.086,              0.0007426,              0.0007426,              0.0007426
                     68,                0.65802,                0.66614,                 1.1223,                0.81202,                 0.7057,                0.66919,                0.55045,                0.54862,                0.59666,                 1.0809,             0.00073864,             0.00073864,             0.00073864
                     69,                0.64935,                0.62165,                 1.1199,                0.85387,                0.68086,                0.76174,                0.58197,                0.55372,                0.55683,                 1.0965,             0.00073468,             0.00073468,             0.00073468
                     70,                0.67052,                0.65034,                 1.1331,                0.65694,                0.78229,                0.73634,                0.60908,                0.54369,                0.55979,                  1.074,             0.00073072,             0.00073072,             0.00073072
                     71,                 0.6566,                0.60165,                 1.1244,                0.65886,                 0.7856,                0.72321,                0.60605,                0.56991,                0.55141,                 1.0789,             0.00072676,             0.00072676,             0.00072676
                     72,                0.65549,                0.63396,                 1.1133,                0.65474,                0.73859,                0.70409,                0.58696,                0.53325,                0.58576,                 1.0587,              0.0007228,              0.0007228,              0.0007228
                     73,                0.67071,                0.64702,                 1.1319,                0.62579,                0.75798,                0.74319,                0.60477,                0.53116,                0.56124,                 1.0702,             0.00071884,             0.00071884,             0.00071884
                     74,                0.64914,                0.65331,                  1.111,                0.62638,                0.75559,                0.72391,                0.58107,                0.54034,                0.58074,                 1.0622,             0.00071488,             0.00071488,             0.00071488
                     75,                0.66222,                0.65925,                 1.1194,                0.65177,                0.73587,                0.72988,                0.58082,                0.55933,                0.53846,                 1.0825,             0.00071092,             0.00071092,             0.00071092
                     76,                 0.6518,                0.63008,                 1.1261,                0.85472,                0.65085,                0.74582,                0.62701,                0.55122,                0.53573,                 1.0663,             0.00070696,             0.00070696,             0.00070696
                     77,                0.65206,                 0.6246,                  1.105,                0.82074,                0.68158,                0.73975,                0.62011,                0.53216,                0.51583,                 1.0651,               0.000703,               0.000703,               0.000703
                     78,                0.64308,                0.59994,                 1.1057,                0.70353,                 0.7511,                0.74107,                0.62379,                0.53708,                0.56048,                 1.0489,             0.00069904,             0.00069904,             0.00069904
                     79,                0.64382,                0.64113,                 1.1097,                0.88459,                0.71751,                0.76001,                0.61895,                0.54309,                0.52295,                 1.0685,             0.00069508,             0.00069508,             0.00069508
                     80,                0.63023,                 0.6049,                 1.1001,                0.76446,                  0.707,                0.76245,                0.61615,                0.52553,                0.50932,                 1.0548,             0.00069112,             0.00069112,             0.00069112
                     81,                0.65484,                0.62258,                 1.1208,                0.68255,                0.78761,                0.74532,                0.63005,                0.53345,                0.50792,                 1.0477,             0.00068716,             0.00068716,             0.00068716
                     82,                0.64461,                0.58527,                 1.1154,                0.89174,                 0.6606,                0.75266,                 0.6251,                0.52111,                0.59815,                 1.0384,              0.0006832,              0.0006832,              0.0006832
                     83,                0.65195,                0.60255,                 1.1196,                0.72647,                0.80116,                0.77387,                0.62507,                0.53457,                0.52029,                 1.0773,             0.00067924,             0.00067924,             0.00067924
                     84,                0.62882,                0.57778,                 1.0998,                0.67714,                0.84127,                0.79146,                 0.6769,                0.51548,                0.48637,                 1.0417,             0.00067528,             0.00067528,             0.00067528
                     85,                0.64101,                 0.5934,                 1.1067,                 0.6937,                0.82072,                0.77901,                0.64338,                0.51459,                0.48904,                 1.0287,             0.00067132,             0.00067132,             0.00067132
                     86,                 0.6286,                0.61168,                 1.1012,                0.67302,                0.78654,                0.72942,                0.61211,                0.51093,                0.47851,                 1.0366,             0.00066736,             0.00066736,             0.00066736
                     87,                0.60609,                0.56479,                 1.0697,                0.68871,                0.76854,                0.74982,                0.61534,                0.56863,                0.56772,                 1.1043,              0.0006634,              0.0006634,              0.0006634
                     88,                0.63998,                0.57281,                  1.097,                0.89079,                0.69018,                0.76214,                0.63574,                0.52519,                0.53615,                 1.0377,             0.00065944,             0.00065944,             0.00065944
                     89,                0.63913,                 0.5957,                 1.0959,                0.67646,                0.76532,                 0.7915,                0.65392,                0.52017,                0.48931,                 1.0337,             0.00065548,             0.00065548,             0.00065548
                     90,                0.62709,                0.60052,                 1.0913,                0.85369,                0.76008,                0.78303,                0.63277,                0.51167,                0.47821,                 1.0339,             0.00065152,             0.00065152,             0.00065152
                     91,                0.62437,                0.56994,                  1.094,                0.89053,                0.71756,                0.78829,                0.67121,                0.52334,                0.48988,                 1.0448,             0.00064756,             0.00064756,             0.00064756
                     92,                0.62253,                0.59694,                 1.1014,                0.87408,                0.67791,                0.75988,                0.64093,                0.54393,                0.49074,                 1.0492,              0.0006436,              0.0006436,              0.0006436
                     93,                 0.6429,                  0.578,                 1.1056,                0.69688,                0.83221,                0.80544,                0.66886,                0.51549,                 0.4919,                 1.0417,             0.00063964,             0.00063964,             0.00063964
                     94,                0.62737,                0.56479,                 1.0903,                0.71447,                0.82728,                0.79504,                0.68246,                0.50033,                0.47398,                  1.029,             0.00063568,             0.00063568,             0.00063568
                     95,                0.61268,                0.59058,                 1.0848,                 0.8772,                0.75031,                 0.7873,                0.67207,                0.49913,                0.48073,                 1.0294,             0.00063172,             0.00063172,             0.00063172
                     96,                0.61167,                0.57012,                 1.0792,                0.67237,                 0.8819,                0.80477,                0.69525,                0.50127,                0.45671,                 1.0186,             0.00062776,             0.00062776,             0.00062776
                     97,                0.61836,                0.57648,                 1.0899,                 0.7031,                0.87909,                0.80737,                0.69573,                0.50353,                0.46559,                 1.0281,              0.0006238,              0.0006238,              0.0006238
                     98,                0.62314,                0.56263,                 1.0966,                0.70093,                0.82269,                0.77588,                0.64702,                0.50274,                 0.5058,                 1.0341,             0.00061984,             0.00061984,             0.00061984
                     99,                0.61553,                0.55658,                 1.0918,                0.75603,                0.81068,                0.78266,                0.67631,                0.52954,                0.47402,                 1.0527,             0.00061588,             0.00061588,             0.00061588
                    100,                0.60183,                0.52579,                 1.0811,                0.89956,                0.69145,                0.77494,                0.66282,                0.49118,                0.48558,                  1.014,             0.00061192,             0.00061192,             0.00061192
                    101,                0.60002,                0.54345,                 1.0729,                 0.9106,                0.74276,                0.82066,                0.68698,                0.50647,                0.44118,                  1.028,             0.00060796,             0.00060796,             0.00060796
                    102,                0.60322,                0.56986,                 1.0718,                0.78111,                0.85548,                0.81725,                0.69149,                0.52879,                0.48187,                 1.0491,               0.000604,               0.000604,               0.000604
                    103,                0.60694,                0.54072,                 1.0846,                0.73112,                0.86372,                0.80925,                0.68975,                0.50026,                0.46055,                 1.0243,             0.00060004,             0.00060004,             0.00060004
                    104,                0.60021,                0.54925,                 1.0754,                0.70932,                0.87601,                0.80471,                0.68811,                0.50214,                0.46067,                 1.0246,             0.00059608,             0.00059608,             0.00059608
                    105,                0.60131,                0.55181,                  1.073,                0.75384,                0.86158,                0.81746,                0.70627,                0.49252,                0.44836,                 1.0114,             0.00059212,             0.00059212,             0.00059212
                    106,                0.59685,                0.51971,                 1.0745,                0.86279,                0.75191,                0.80302,                0.69537,                0.49375,                 0.4425,                 1.0232,             0.00058816,             0.00058816,             0.00058816
                    107,                0.60328,                0.54223,                  1.073,                0.71736,                0.86363,                0.80837,                 0.6928,                0.49336,                0.43923,                 1.0183,              0.0005842,              0.0005842,              0.0005842
                    108,                0.61213,                0.57136,                 1.0795,                0.76268,                 0.8458,                0.82129,                0.69492,                0.51073,                0.45081,                 1.0335,             0.00058024,             0.00058024,             0.00058024
                    109,                0.61011,                0.54967,                 1.0841,                0.89326,                0.79184,                0.82896,                0.70055,                0.50353,                0.47865,                 1.0206,             0.00057628,             0.00057628,             0.00057628
                    110,                0.59024,                0.51971,                  1.068,                0.76324,                0.86529,                0.83317,                0.70545,                0.49324,                 0.4296,                 1.0128,             0.00057232,             0.00057232,             0.00057232
                    111,                0.60542,                  0.538,                 1.0761,                0.70117,                0.88082,                0.82351,                0.70395,                0.50159,                0.44154,                 1.0237,             0.00056836,             0.00056836,             0.00056836
                    112,                0.59878,                0.52581,                 1.0736,                0.75672,                0.83868,                0.82786,                0.71213,                0.48853,                0.43181,                 1.0072,              0.0005644,              0.0005644,              0.0005644
                    113,                0.60543,                0.51715,                 1.0781,                0.73495,                0.84848,                0.82632,                0.68377,                0.48922,                0.43702,                 1.0078,             0.00056044,             0.00056044,             0.00056044
                    114,                0.60991,                0.53968,                 1.0855,                0.78299,                0.80018,                0.82504,                0.70098,                0.50027,                0.43253,                 1.0293,             0.00055648,             0.00055648,             0.00055648
                    115,                0.59841,                 0.5247,                 1.0716,                0.75642,                0.88161,                0.82693,                0.68791,                0.48141,                0.43268,                 1.0018,             0.00055252,             0.00055252,             0.00055252
                    116,                0.59406,                 0.5613,                 1.0605,                0.70962,                0.77016,                0.81817,                0.68804,                0.51521,                 0.4605,                 1.0303,             0.00054856,             0.00054856,             0.00054856
                    117,                 0.5899,                0.51745,                 1.0686,                0.70141,                0.88389,                0.80848,                0.68973,                 0.4953,                0.44764,                 1.0244,              0.0005446,              0.0005446,              0.0005446
                    118,                0.60003,                0.52222,                 1.0733,                  0.751,                0.87462,                0.83864,                0.73857,                 0.4807,                0.42299,                 1.0111,             0.00054064,             0.00054064,             0.00054064
                    119,                0.58226,                0.51919,                  1.062,                0.80232,                 0.8203,                0.83746,                0.71534,                 0.4944,                0.44246,                 1.0072,             0.00053668,             0.00053668,             0.00053668
                    120,                0.58168,                0.51093,                 1.0492,                0.67864,                0.82316,                 0.8346,                0.69493,                0.49669,                0.47215,                 1.0157,             0.00053272,             0.00053272,             0.00053272
                    121,                 0.5788,                0.50223,                 1.0607,                0.75379,                0.84946,                0.84124,                0.72197,                0.47983,                0.42606,                 1.0037,             0.00052876,             0.00052876,             0.00052876
                    122,                0.60716,                0.50618,                  1.077,                0.74078,                0.86664,                0.82998,                0.72315,                0.48543,                0.46001,                  1.005,              0.0005248,              0.0005248,              0.0005248
                    123,                0.58864,                0.51819,                 1.0565,                0.72261,                 0.8724,                0.84007,                0.73516,                0.48649,                0.45791,                0.99972,             0.00052084,             0.00052084,             0.00052084
                    124,                0.58476,                0.51889,                 1.0525,                0.72703,                0.87125,                0.84613,                0.72126,                0.48813,                0.42798,                 1.0004,             0.00051688,             0.00051688,             0.00051688
                    125,                0.58571,                0.53215,                 1.0721,                0.73519,                0.85983,                0.83801,                0.72154,                0.50247,                0.44959,                 1.0206,             0.00051292,             0.00051292,             0.00051292
                    126,                0.59408,                0.53397,                 1.0647,                0.72028,                0.87493,                0.83101,                0.72626,                0.50818,                0.41368,                 1.0237,             0.00050896,             0.00050896,             0.00050896
                    127,                 0.5816,                0.48851,                 1.0625,                0.81161,                0.84559,                0.85061,                0.73338,                0.47714,                0.41277,                0.99399,               0.000505,               0.000505,               0.000505
                    128,                 0.5861,                0.50228,                 1.0652,                0.74614,                0.85202,                0.84134,                0.72565,                0.47994,                0.40875,                0.99779,             0.00050104,             0.00050104,             0.00050104
                    129,                0.57598,                0.50075,                 1.0616,                0.75967,                 0.8374,                0.83807,                0.72207,                0.47513,                0.42266,                0.99732,             0.00049708,             0.00049708,             0.00049708
                    130,                0.57205,                0.53397,                 1.0466,                0.73855,                0.88148,                0.85837,                0.72488,                0.49349,                0.40226,                 1.0047,             0.00049312,             0.00049312,             0.00049312
                    131,                0.56218,                0.47911,                 1.0479,                0.78368,                0.86651,                0.87003,                0.75865,                0.48178,                0.40467,                0.99575,             0.00048916,             0.00048916,             0.00048916
                    132,                0.57066,                  0.482,                 1.0636,                0.77714,                0.87619,                0.86659,                0.76647,                0.48101,                0.40638,                0.99802,              0.0004852,              0.0004852,              0.0004852
                    133,                0.57188,                0.48743,                 1.0487,                0.80976,                0.81976,                0.85673,                0.73739,                0.47322,                0.40317,                0.98717,             0.00048124,             0.00048124,             0.00048124
                    134,                0.59751,                0.52227,                 1.0636,                0.78539,                0.85969,                0.85201,                0.72519,                0.47245,                0.39913,                0.99681,             0.00047728,             0.00047728,             0.00047728
